dttm,tx,ty,qlat,qsens,lw,sw,precip,time
2002-08-16T06:00:00.000Z,-0.030563172637106548,0.03593791099893466,22.544866183573433,7.092186483353029,87.24758113973544,194.19612182663042,0,0
2002-08-16T12:00:00.000Z,-0.029468837116796195,0.030639386135124375,13.457711008130854,3.0402192158483956,88.1214737263162,572.6268206876836,0,0.25
2002-08-16T18:00:00.000Z,-0.017901282895955394,0.014701054012523255,12.22296537515862,4.184287258502502,82.1692827525132,154.38328852002022,0,0.5
2002-08-17T00:00:00.000Z,-0.005493665400421611,0.0035434117379376947,4.095017150020605,0.9854201412522318,54.05570829545448,2.7962028980255127e-5,0,0.75
2002-08-17T06:00:00.000Z,0.001858589211539554,-0.006233451906256434,17.829307226970926,3.7709012626505416,47.125899387384514,133.973106441413,0,1
2002-08-17T12:00:00.000Z,0.04011407916333545,-0.030578393940998372,34.91048549110732,7.632738902254777,34.52335382739759,285.96031921977857,0,1.25
2002-08-17T18:00:00.000Z,0.0965810704325015,-0.02279153581691739,28.165403515387304,3.892478746693709,33.22860266927468,86.64642809913245,0,1.5
2002-08-18T00:00:00.000Z,0.05435787613470139,-0.006033511220416571,26.01065559651115,0.9150251460744021,71.60067485869058,2.7962028980255127e-5,0,1.75
2002-08-18T06:00:00.000Z,0.02306370215170921,-0.023891067934244233,18.683990252447277,0.7496741331461149,85.6400467975966,192.031087786081,0,2
2002-08-18T12:00:00.000Z,-0.008724902765653648,-0.043478779103132706,8.729550018131295,-2.597599746421337,74.7573155532403,559.7439929330845,0,2.25
2002-08-18T18:00:00.000Z,-0.006587816391458787,-0.06177746599216703,8.850347073165217,-2.0610834713201527,58.37260186321733,138.59061872038475,0,2.5
2002-08-19T00:00:00.000Z,-0.012886025354882553,-0.16281759746334973,7.367067766785724,-13.288392619336427,23.09724316581779,2.7962028980255127e-5,0,2.75
2002-08-19T06:00:00.000Z,0.012386432298215483,-0.2799955165054584,8.694041589063602,-18.219779510637302,12.93791516629431,95.30486671008173,0,3
2002-08-19T12:00:00.000Z,-0.05625068378989108,-0.33638324730905433,-0.09036113236145749,-11.241412208701593,12.865399103141824,243.50723145391729,0,3.25
2002-08-19T18:00:00.000Z,-0.05904237551119666,-0.15782961840420176,1.4703385920590646,-4.048034317037604,5.838168476988581,60.35376143400271,0,3.5
2002-08-20T00:00:00.000Z,-0.06551366369627391,-0.06248864037184937,10.873307435131169,0.57218431458201,25.11295022665281,2.7962028980255127e-5,0,3.75
2002-08-20T06:00:00.000Z,-0.08840829764416543,-0.006085778817502718,27.50992223339609,6.072564269616553,53.33558699025145,155.40004963089638,0,4
2002-08-20T12:00:00.000Z,-0.11746107382061803,-0.01985504509834885,31.365945470372914,4.070684882718007,75.09363409367673,523.6419915136503,0,4.25
2002-08-20T18:00:00.000Z,-0.08935161563906774,-0.021433838452435627,24.594809629544265,5.4291034263904905,78.11334319646392,134.72997669176522,0,4.5
2002-08-21T00:00:00.000Z,-0.09048279037317195,-0.027898612709756625,25.44452080737716,5.770183635644829,79.5691173948828,2.7962028980255127e-5,0,4.75
2002-08-21T06:00:00.000Z,-0.07993539920698553,-0.018082430444651767,16.19657224758675,1.5004325830128953,63.855345881642904,149.65582113447098,0,5
2002-08-21T12:00:00.000Z,-0.057149087519173435,-0.01192199290970545,5.980044766082705,-2.832846291768395,61.19488204432773,475.2802528191676,0,5.25
2002-08-21T18:00:00.000Z,-0.03182192445589114,0.006608561164913651,8.093742176397038,1.5709470984602247,70.80125400079513,116.85521431618957,0,5.5
2002-08-22T00:00:00.000Z,-7.620023609194487e-4,-1.978278802117271e-4,5.264382080873923,1.470818497629095,50.24915825199085,2.7962028980255127e-5,0,5.75
2002-08-22T06:00:00.000Z,0.029715783923731434,-0.010700387452045428,6.115233932953542,-0.3437148608525175,28.22791744551371,90.41909569266468,0,6
2002-08-22T12:00:00.000Z,0.0685233684872216,0.0015657109101921349,4.003075917631461,1.4247763683958705,14.220264354529538,143.39583828418102,0,6.25
2002-08-22T18:00:00.000Z,0.05768728586183675,0.03710290075244955,-0.2474480801549819,-0.535947726079084,11.37487306196357,43.118591445822645,0,6.5
2002-08-23T00:00:00.000Z,-0.0055794214784055775,0.09171428751287201,3.5766452895632086,0.45754535866968593,27.180053128577992,2.7962028980255127e-5,0,6.75
2002-08-23T06:00:00.000Z,-0.11812807318223131,0.18721637991974244,17.252996687354724,4.447686548772312,49.676069048733325,124.01074581897103,0,7
2002-08-23T12:00:00.000Z,-0.21263151774157962,0.1492088895871454,23.248497018255748,5.343793952028591,61.352392372696286,443.3798168284568,0,7.25
2002-08-23T18:00:00.000Z,-0.10790386694578072,0.06096881991891623,17.64426212008807,4.106399079529212,61.264125111250564,104.88339922762475,0,7.5
2002-08-24T00:00:00.000Z,-0.03509052270066732,0.006509654408916122,7.806514940835061,1.6323900236309719,75.6980501076537,2.7962028980255127e-5,0,7.75
2002-08-24T06:00:00.000Z,-0.0015312126950191383,-0.003538049247590317,6.312935462693666,-0.09436986781638124,54.112865340363285,142.2708996420817,0,8
2002-08-24T12:00:00.000Z,0.001156329144546084,-0.0326947146871789,5.990748551844689,-6.034059707882856,29.29512862962899,278.3614109828879,0,8.25
2002-08-24T18:00:00.000Z,0.01744570007389236,-0.0870372864654336,7.673346998735719,-11.732926727363349,28.883129469748866,69.35356823829304,0,8.5
2002-08-25T00:00:00.000Z,0.04320084442444343,-0.08642510896634839,3.8960615578696887,-10.50405520218711,23.372894168035106,2.7962028980255127e-5,0,8.75
